"credit_ID","duration","purpose","amount","credit_risk"
3836,18,"car (used)",1049,"good"
3679,9,"others",2799,"good"
3129,12,"retraining",841,"good"
3299,8,"others",3398,"good"
3270,6,"others",1361,"good"
3978,18,"furniture/equipment",1098,"good"
3307,11,"others",3905,"good"
3597,30,"car (new)",6187,"good"
3874,48,"business",7582,"good"
3950,18,"furniture/equipment",1936,"good"
3775,18,"furniture/equipment",3213,"good"
3037,12,"others",3124,"good"
3105,36,"domestic appliances",2384,"bad"
3729,12,"radio/television",1424,"good"
3677,12,"car (used)",652,"good"
3987,15,"others",3556,"good"
3382,42,"car (new)",4796,"good"
3940,36,"others",3535,"good"
3931,15,"others",1721,"good"
3326,6,"others",860,"good"
3984,12,"others",1495,"good"
3554,12,"furniture/equipment",1934,"good"
3111,24,"car (new)",3868,"good"
3404,12,"domestic appliances",996,"good"
3924,24,"business",1755,"good"
3532,18,"others",1028,"good"
3556,18,"repairs",1239,"good"
3889,18,"others",1216,"bad"
3121,24,"others",1474,"good"
3040,24,"retraining",1382,"good"
3375,9,"others",1224,"good"
3248,12,"furniture/equipment",2331,"good"
3198,24,"car (new)",6313,"good"
3378,12,"furniture/equipment",385,"good"
3039,12,"furniture/equipment",1655,"good"
3390,36,"others",3079,"good"
3642,36,"others",10875,"good"
3022,12,"furniture/equipment",3077,"good"
3742,12,"furniture/equipment",1567,"good"
3193,24,"others",2032,"good"
3371,21,"car (used)",2745,"good"
3965,24,"car (used)",929,"good"
3767,12,"furniture/equipment",3399,"bad"
3492,9,"car (used)",2030,"good"
3616,24,"others",1940,"good"
3843,15,"furniture/equipment",1979,"good"
3465,24,"others",2022,"good"
3808,18,"others",5866,"good"
3977,15,"car (new)",2360,"good"
3176,15,"car (used)",1520,"good"
3345,12,"others",3651,"good"
3791,24,"car (new)",2346,"good"
3871,24,"others",1965,"good"
3029,12,"others",1995,"good"
3733,9,"furniture/equipment",1364,"good"
3545,12,"furniture/equipment",3573,"good"
3557,36,"retraining",4455,"bad"
3287,42,"retraining",5954,"good"
3614,24,"car (used)",3777,"good"
3329,24,"retraining",4712,"good"
3487,36,"others",7432,"bad"
3855,24,"furniture/equipment",1851,"good"
3498,18,"furniture/equipment",1473,"good"
3576,6,"car (used)",428,"good"
3490,12,"others",2366,"good"
3736,12,"car (used)",763,"good"
3103,21,"car (used)",3976,"good"
3051,9,"car (used)",1919,"good"
3907,24,"car (new)",2603,"good"
3998,36,"furniture/equipment",4795,"good"
3811,36,"car (new)",5842,"good"
3282,6,"furniture/equipment",2063,"good"
3143,15,"furniture/equipment",1459,"good"
3442,15,"furniture/equipment",1213,"good"
3285,24,"furniture/equipment",5103,"good"
3048,6,"car (used)",2978,"good"
3501,18,"others",1820,"good"
3536,6,"car (used)",2116,"good"
3918,6,"car (used)",1543,"good"
3339,24,"others",2325,"good"
3346,6,"vacation",932,"good"
3043,36,"furniture/equipment",3835,"good"
3910,24,"furniture/equipment",5084,"good"
3590,9,"car (used)",2406,"good"
3959,36,"furniture/equipment",2394,"good"
3796,21,"car (new)",2476,"good"
3628,24,"car (new)",2964,"good"
3233,12,"car (used)",1262,"good"
3293,12,"retraining",1542,"good"
3451,12,"furniture/equipment",2171,"good"
3086,48,"car (new)",8858,"good"
3483,24,"others",3512,"good"
3327,12,"furniture/equipment",1158,"good"
3622,24,"furniture/equipment",2684,"good"
3819,30,"furniture/equipment",5954,"good"
3812,48,"retraining",6416,"bad"
3049,12,"car (used)",3617,"good"
3242,24,"car (used)",3972,"good"
3818,30,"furniture/equipment",5771,"good"
3751,15,"car (used)",2788,"good"
3135,36,"furniture/equipment",5848,"good"
3377,24,"furniture/equipment",1552,"good"
3408,12,"furniture/equipment",1963,"good"
3565,24,"retraining",4139,"good"
3467,12,"car (new)",1804,"good"
3356,18,"retraining",1950,"good"
3891,9,"radio/television",1236,"good"
3842,30,"retraining",8072,"good"
3992,9,"retraining",1449,"good"
3124,36,"retraining",5742,"good"
3610,36,"repairs",2273,"good"
3019,24,"furniture/equipment",1901,"good"
3273,36,"repairs",3711,"good"
3543,24,"others",2255,"good"
3686,33,"car (new)",7253,"good"
3403,6,"others",6761,"good"
3587,12,"furniture/equipment",2141,"good"
3777,28,"car (new)",7824,"good"
3604,18,"furniture/equipment",1445,"good"
3634,24,"car (used)",7721,"good"
3138,18,"retraining",4439,"good"
3500,15,"furniture/equipment",1444,"good"
3761,48,"others",12169,"good"
3939,9,"furniture/equipment",2753,"good"
3229,4,"others",1494,"good"
3140,6,"others",1299,"good"
3938,10,"others",3949,"good"
3508,10,"car (new)",2901,"good"
3854,6,"others",709,"good"
3968,47,"others",10722,"bad"
3271,10,"others",1287,"good"
3512,24,"car (new)",4679,"good"
3504,18,"car (used)",2659,"good"
3457,24,"furniture/equipment",1516,"good"
3127,21,"retraining",1572,"good"
3645,48,"retraining",3566,"good"
3041,24,"furniture/equipment",1278,"good"
3548,6,"furniture/equipment",426,"good"
3305,39,"car (new)",8588,"good"
3413,30,"car (new)",3857,"good"
3309,21,"car (used)",2241,"good"
3773,24,"furniture/equipment",2384,"good"
3441,4,"car (used)",601,"good"
3117,39,"car (new)",2569,"good"
3764,15,"furniture/equipment",1316,"good"
3900,18,"retraining",1568,"good"
3349,24,"car (new)",3488,"good"
3857,24,"car (used)",4151,"good"
3872,18,"others",2899,"good"
3455,12,"furniture/equipment",804,"good"
3783,36,"furniture/equipment",3595,"good"
3822,36,"car (new)",5711,"good"
3234,15,"car (used)",3643,"good"
3484,10,"car (used)",2146,"good"
3073,5,"retraining",3448,"good"
3553,11,"others",1393,"good"
3762,9,"car (used)",1313,"good"
3062,22,"furniture/equipment",2675,"good"
3941,9,"furniture/equipment",2118,"good"
3644,36,"others",909,"good"
3035,12,"car (used)",1258,"good"
3381,15,"furniture/equipment",1569,"good"
3697,6,"domestic appliances",660,"good"
3846,24,"car (used)",2835,"good"
3665,24,"car (new)",2670,"bad"
3031,12,"vacation",3447,"good"
3028,21,"retraining",3652,"good"
3735,24,"furniture/equipment",3660,"good"
3148,9,"furniture/equipment",1126,"good"
3772,6,"furniture/equipment",683,"good"
3572,12,"car (used)",2251,"good"
3284,12,"car (new)",4675,"good"
3268,6,"others",672,"good"
3756,9,"furniture/equipment",2697,"good"
3300,9,"others",2507,"good"
3241,15,"car (used)",2221,"good"
3033,6,"furniture/equipment",1898,"good"
3437,15,"car (used)",960,"good"
3792,36,"car (new)",8133,"good"
3848,9,"car (used)",2301,"good"
3993,12,"vacation",339,"good"
3338,24,"car (used)",3749,"good"
3609,9,"furniture/equipment",3074,"bad"
3584,9,"furniture/equipment",745,"bad"
3824,24,"others",1469,"good"
3434,6,"others",783,"good"
3201,21,"furniture/equipment",2606,"good"
3357,12,"furniture/equipment",930,"good"
3755,48,"car (new)",2751,"good"
3116,6,"others",662,"good"
3962,24,"retraining",1559,"good"
3701,15,"furniture/equipment",1360,"good"
3668,6,"others",1204,"good"
3439,10,"others",1597,"good"
3220,11,"retraining",2142,"bad"
3994,10,"others",1546,"good"
3235,24,"others",1287,"good"
3513,10,"others",1418,"good"
3752,6,"others",1343,"good"
3173,18,"others",2662,"good"
3083,18,"furniture/equipment",6070,"good"
3673,24,"repairs",1927,"good"
3324,6,"furniture/equipment",1554,"good"
3922,24,"others",717,"good"
3180,24,"car (used)",1747,"good"
3291,18,"car (new)",3229,"bad"
3833,12,"others",682,"good"
3867,10,"furniture/equipment",1924,"good"
3025,10,"car (used)",2069,"good"
3081,24,"others",1525,"good"
3472,48,"retraining",7629,"good"
3647,36,"car (new)",10477,"good"
3480,24,"car (new)",2924,"good"
3003,18,"others",1961,"good"
3161,12,"others",1255,"bad"
3384,12,"car (used)",1858,"good"
3436,6,"car (used)",1221,"good"
3060,12,"car (used)",2759,"good"
3181,15,"others",1403,"good"
3510,24,"car (used)",3021,"good"
3133,24,"retraining",6568,"good"
3618,24,"furniture/equipment",2578,"good"
3428,24,"car (new)",7758,"good"
3547,6,"radio/television",343,"good"
3279,27,"furniture/equipment",3416,"good"
3658,12,"domestic appliances",1108,"bad"
3932,21,"car (used)",3599,"good"
3169,60,"others",13756,"good"
3598,9,"others",276,"good"
3702,9,"furniture/equipment",458,"good"
3544,365,"others",1480,"good"
3479,6,"repairs",1047,"good"
3825,15,"furniture/equipment",1471,"good"
3920,9,"furniture/equipment",1206,"good"
3790,24,"furniture/equipment",6403,"good"
3731,12,"car (new)",1503,"good"
3089,27,"retraining",2528,"good"
3533,12,"retraining",1037,"good"
3981,6,"car (new)",1352,"good"
3071,48,"business",5381,"good"
3663,13,"furniture/equipment",1409,"good"
3546,24,"retraining",2375,"good"
3674,12,"furniture/equipment",522,"good"
3574,28,"furniture/equipment",2743,"bad"
3705,11,"furniture/equipment",1154,"good"
3670,24,"car (new)",5804,"good"
3281,11,"others",1322,"good"
3005,16,"others",1175,"good"
3925,15,"furniture/equipment",1829,"good"
3020,12,"furniture/equipment",717,"good"
3079,12,"repairs",1200,"good"
3687,9,"others",3195,"good"
3473,12,"domestic appliances",1555,"bad"
3798,15,"retraining",2326,"good"
3296,18,"retraining",1887,"good"
3909,12,"retraining",1264,"good"
3397,21,"car (used)",2288,"good"
3264,27,"retraining",5117,"good"
3368,15,"furniture/equipment",1386,"good"
3139,12,"car (used)",1574,"good"
3520,6,"furniture/equipment",700,"good"
3115,36,"car (new)",4686,"good"
3396,10,"others",7308,"good"
3813,14,"others",3973,"good"
3606,20,"business",2629,"good"
3495,18,"retraining",1941,"good"
3109,24,"car (used)",2333,"good"
3519,12,"car (new)",2445,"good"
3393,18,"car (used)",7374,"good"
3704,15,"car (new)",3812,"good"
3112,12,"others",7472,"good"
3266,15,"others",5324,"good"
3765,12,"repairs",1393,"good"
3654,18,"car (used)",1984,"good"
3175,36,"retraining",7409,"good"
3712,15,"car (used)",2186,"good"
3261,36,"furniture/equipment",4473,"good"
3166,24,"vacation",937,"good"
3552,18,"car (used)",3422,"good"
3340,24,"furniture/equipment",3105,"good"
3412,18,"domestic appliances",3872,"good"
3099,27,"domestic appliances",5190,"good"
3516,18,"car (used)",3001,"bad"
3128,24,"retraining",3863,"good"
3919,12,"car (used)",1592,"good"
3943,12,"retraining",1185,"good"
3192,18,"car (used)",3612,"good"
3085,12,"others",3527,"good"
3213,18,"furniture/equipment",2051,"good"
3208,24,"furniture/equipment",2611,"good"
3957,12,"car (new)",1409,"good"
3216,24,"car (new)",4042,"good"
3652,24,"others",1249,"good"
3743,6,"furniture/equipment",1595,"good"
3906,24,"car (new)",7814,"good"
3240,24,"car (new)",6842,"good"
3868,24,"car (used)",5150,"good"
3711,6,"repairs",1538,"good"
3308,30,"car (used)",3832,"good"
3342,36,"repairs",1819,"bad"
3870,24,"furniture/equipment",5943,"bad"
3203,36,"car (used)",10974,"good"
3122,6,"furniture/equipment",518,"good"
3044,18,"furniture/equipment",1126,"good"
3571,12,"car (new)",1860,"good"
3267,36,"furniture/equipment",9566,"good"
3734,12,"furniture/equipment",701,"good"
3873,12,"furniture/equipment",2930,"good"
3100,18,"furniture/equipment",1505,"good"
3313,18,"furniture/equipment",2238,"good"
3134,4,"furniture/equipment",1503,"good"
3232,12,"furniture/equipment",1881,"good"
3360,18,"furniture/equipment",2389,"good"
3011,24,"furniture/equipment",1967,"good"
3608,4,"others",3380,"good"
3923,4,"others",1455,"good"
3631,7,"furniture/equipment",730,"good"
3482,18,"car (used)",3244,"good"
3265,12,"car (used)",1922,"bad"
3054,18,"car (used)",1295,"good"
3146,4,"furniture/equipment",1544,"good"
3524,8,"retraining",907,"good"
3911,30,"furniture/equipment",1715,"good"
3236,10,"furniture/equipment",1347,"good"
3328,12,"others",1007,"good"
3006,12,"others",2002,"good"
3481,12,"repairs",2096,"good"
3555,12,"others",1101,"good"
3515,10,"vacation",894,"good"
3250,11,"car (used)",1577,"good"
3258,48,"others",8358,"good"
3446,24,"car (new)",5433,"good"
3288,14,"retraining",1410,"good"
3567,18,"car (new)",3850,"good"
3593,60,"others",7408,"bad"
3847,24,"furniture/equipment",1377,"good"
3806,30,"retraining",4272,"good"
3205,36,"retraining",9857,"bad"
3243,6,"others",362,"good"
3780,365,"car (used)",1935,"good"
3946,48,"furniture/equipment",10222,"good"
3399,12,"others",1330,"good"
3182,26,"car (new)",7966,"good"
3581,30,"car (used)",3496,"good"
3061,36,"car (new)",6948,"good"
3348,48,"retraining",12204,"good"
3635,36,"car (used)",3446,"bad"
3921,12,"repairs",684,"bad"
3662,33,"car (used)",4281,"bad"
3137,42,"furniture/equipment",7174,"bad"
3325,24,"furniture/equipment",1546,"bad"
3362,24,"furniture/equipment",3621,"bad"
3066,365,"radio/television",741,"bad"
3245,18,"others",5302,"good"
3206,36,"car (used)",3620,"good"
3974,12,"car (used)",3017,"good"
3627,12,"car (used)",1657,"bad"
3431,8,"business",1164,"good"
3380,36,"car (used)",6229,"bad"
3411,24,"others",1193,"bad"
3190,12,"car (used)",708,"good"
3478,30,"furniture/equipment",2522,"good"
3621,24,"car (used)",2028,"good"
3586,6,"others",1374,"good"
3954,12,"car (used)",1289,"good"
3766,15,"car (used)",975,"good"
3558,6,"car (used)",1050,"good"
3563,48,"car (new)",4788,"good"
3353,12,"others",836,"good"
3426,12,"car (used)",2577,"good"
3036,24,"car (new)",6579,"good"
3162,18,"others",2249,"good"
3807,30,"car (used)",3108,"bad"
3067,24,"car (new)",9277,"good"
3602,24,"business",6314,"good"
3882,12,"car (new)",1526,"bad"
3935,24,"car (new)",6615,"good"
3335,6,"car (used)",1872,"good"
3828,12,"others",2859,"good"
3489,12,"car (used)",2578,"good"
3395,15,"car (used)",1433,"good"
3689,36,"car (used)",3959,"good"
3425,36,"others",3249,"good"
3013,24,"car (used)",3149,"good"
3613,12,"car (used)",2246,"good"
3905,13,"retraining",1797,"good"
3082,24,"car (new)",2957,"good"
3389,36,"car (used)",2348,"good"
3257,42,"retraining",6289,"good"
3449,24,"car (new)",6419,"good"
3529,24,"furniture/equipment",2223,"good"
3225,30,"retraining",2503,"good"
3306,24,"car (used)",4351,"good"
3771,24,"furniture/equipment",2424,"good"
3715,6,"furniture/equipment",753,"good"
3466,7,"furniture/equipment",2576,"good"
3651,6,"furniture/equipment",590,"good"
3732,8,"furniture/equipment",1414,"good"
3902,6,"furniture/equipment",1068,"good"
3703,12,"furniture/equipment",1092,"good"
3803,13,"furniture/equipment",882,"good"
3080,13,"furniture/equipment",2101,"good"
3012,12,"furniture/equipment",625,"good"
3560,6,"others",1323,"good"
3983,10,"furniture/equipment",1048,"bad"
3787,20,"car (new)",7057,"good"
3030,15,"furniture/equipment",1537,"good"
3879,24,"car (used)",1585,"good"
3333,10,"car (used)",1521,"good"
3278,24,"furniture/equipment",1282,"bad"
3564,60,"furniture/equipment",10144,"good"
3102,12,"others",1168,"good"
3424,6,"domestic appliances",454,"good"
3118,15,"car (new)",3594,"good"
3713,12,"car (used)",1768,"good"
3211,60,"furniture/equipment",15653,"good"
3917,24,"furniture/equipment",1413,"good"
3365,24,"furniture/equipment",1231,"good"
3695,36,"car (new)",5800,"good"
3070,18,"repairs",8471,"good"
3569,30,"car (used)",3622,"good"
3800,15,"radio/television",1262,"good"
3617,48,"retraining",7685,"bad"
3262,48,"repairs",6110,"good"
3461,36,"retraining",6304,"good"
3969,9,"repairs",1244,"good"
3793,6,"others",3518,"good"
3535,48,"repairs",7476,"good"
3517,18,"car (used)",1924,"bad"
3706,72,"furniture/equipment",5595,"bad"
3589,48,"repairs",6224,"bad"
3237,15,"repairs",1905,"good"
3322,21,"car (new)",2993,"good"
3223,36,"car (new)",8947,"good"
3926,24,"car (used)",4020,"good"
3059,18,"car (new)",2779,"good"
3656,21,"others",2782,"bad"
3123,36,"car (new)",11054,"good"
3908,15,"others",2511,"good"
3170,36,"car (new)",5493,"good"
3409,6,"radio/television",1338,"good"
3351,18,"furniture/equipment",1149,"good"
3174,20,"car (new)",6148,"good"
3463,24,"car (used)",2996,"bad"
3366,6,"car (used)",1766,"bad"
3113,24,"domestic appliances",5507,"good"
3301,24,"car (used)",2892,"good"
3934,36,"others",2862,"good"
3186,9,"others",654,"bad"
3427,6,"others",14555,"bad"
3125,36,"others",2820,"bad"
3202,48,"furniture/equipment",3060,"bad"
3745,18,"furniture/equipment",2600,"bad"
3321,60,"repairs",6288,"bad"
3636,9,"others",1422,"bad"
3865,36,"retraining",2145,"bad"
3963,36,"others",1842,"bad"
3986,18,"car (used)",4297,"bad"
3863,6,"car (used)",3384,"bad"
3094,18,"furniture/equipment",1245,"bad"
3580,15,"repairs",4623,"bad"
3989,30,"car (used)",8386,"bad"
3971,6,"repairs",433,"bad"
3432,12,"furniture/equipment",2149,"bad"
3010,24,"furniture/equipment",2397,"bad"
3034,6,"others",931,"bad"
3002,15,"domestic appliances",1512,"bad"
3076,24,"car (used)",4736,"good"
3231,15,"others",1778,"bad"
3844,15,"furniture/equipment",2327,"bad"
3578,30,"retraining",1908,"bad"
3741,36,"retraining",1953,"bad"
3747,18,"car (used)",2864,"good"
3566,24,"others",947,"bad"
3763,24,"others",1381,"good"
3523,24,"others",1285,"bad"
3239,24,"others",1371,"bad"
3230,18,"others",1042,"bad"
3746,12,"others",900,"bad"
3373,24,"others",1207,"bad"
3372,18,"others",2278,"bad"
3595,48,"retraining",15672,"bad"
3678,60,"retraining",7297,"bad"
3624,18,"domestic appliances",1943,"bad"
3830,18,"furniture/equipment",3190,"bad"
3337,9,"car (new)",5129,"bad"
3172,18,"car (used)",1808,"bad"
3669,10,"others",1240,"good"
3726,8,"car (used)",1237,"bad"
3057,9,"car (used)",1980,"bad"
3641,48,"furniture/equipment",10961,"bad"
3275,36,"repairs",6887,"bad"
3246,24,"furniture/equipment",1938,"good"
3754,21,"furniture/equipment",1835,"bad"
3881,24,"furniture/equipment",1659,"bad"
3163,6,"others",1209,"bad"
3438,48,"retraining",3844,"bad"
3032,12,"domestic appliances",639,"bad"
3388,36,"furniture/equipment",3804,"bad"
3903,36,"retraining",7980,"bad"
3748,24,"car (new)",11560,"bad"
3075,12,"others",1386,"bad"
3088,36,"repairs",1977,"bad"
3131,18,"car (used)",1928,"bad"
3364,24,"business",11328,"bad"
3996,24,"business",11938,"bad"
3927,60,"business",14782,"bad"
3723,36,"furniture/equipment",2671,"bad"
3106,24,"retraining",1935,"bad"
3417,18,"car (used)",1533,"bad"
3541,48,"others",3931,"good"
3795,36,"furniture/equipment",2302,"bad"
3347,12,"furniture/equipment",727,"bad"
3023,12,"furniture/equipment",1534,"bad"
3331,18,"others",2775,"bad"
3374,12,"others",1295,"bad"
3107,36,"car (new)",9398,"bad"
3098,12,"car (used)",951,"bad"
3528,24,"others",1355,"bad"
3915,48,"radio/television",3051,"bad"
3888,36,"others",7855,"bad"
3864,36,"retraining",9572,"good"
3497,24,"repairs",1837,"bad"
3272,30,"others",4249,"bad"
3154,30,"others",5234,"bad"
3401,48,"furniture/equipment",6758,"bad"
3707,24,"business",1358,"bad"
3398,48,"others",7763,"bad"
3429,15,"others",1264,"bad"
3352,15,"others",2631,"bad"
3096,48,"others",6560,"good"
3459,36,"repairs",8065,"bad"
3047,24,"furniture/equipment",2439,"good"
3696,36,"car (used)",9034,"bad"
3797,36,"car (new)",9629,"bad"
3778,12,"furniture/equipment",1484,"bad"
3835,18,"car (used)",1131,"bad"
3588,24,"car (used)",2064,"bad"
3632,18,"car (new)",12976,"bad"
3893,21,"retraining",2580,"bad"
3319,27,"others",2570,"bad"
3064,27,"retraining",3915,"bad"
3542,10,"others",1309,"bad"
3224,24,"others",4817,"bad"
3249,36,"others",2225,"bad"
3717,18,"car (used)",4153,"bad"
3655,18,"car (used)",3114,"bad"
3505,18,"car (used)",2124,"bad"
3660,30,"car (used)",2406,"bad"
3979,24,"others",1333,"bad"
3997,24,"others",4870,"bad"
3914,12,"others",691,"bad"
3332,42,"furniture/equipment",4370,"bad"
3667,24,"car (used)",4110,"bad"
3244,12,"car (used)",1282,"bad"
3191,12,"car (used)",2969,"bad"
3210,48,"car (new)",4605,"bad"
3114,48,"car (new)",6331,"bad"
3046,24,"others",1442,"bad"
3254,21,"repairs",3414,"bad"
4000,24,"retraining",3161,"bad"
3314,12,"vacation",902,"bad"
3760,48,"car (new)",10297,"bad"
3596,48,"retraining",14421,"bad"
3637,18,"others",1056,"bad"
3068,12,"others",1223,"bad"
3944,16,"others",2625,"bad"
3156,20,"others",2235,"bad"
3840,18,"others",884,"bad"
3531,36,"others",8086,"bad"
3430,12,"repairs",719,"bad"
3728,36,"others",12389,"bad"
3782,12,"furniture/equipment",709,"bad"
3394,30,"car (new)",7485,"bad"
3575,18,"others",1442,"bad"
3899,45,"furniture/equipment",4746,"good"
3698,48,"car (new)",11590,"bad"
3370,18,"domestic appliances",1190,"bad"
3640,30,"car (used)",3441,"good"
3188,30,"retraining",4280,"bad"
3323,18,"others",6761,"good"
3387,12,"furniture/equipment",1331,"bad"
3253,54,"retraining",15945,"bad"
3400,45,"furniture/equipment",1845,"bad"
3228,18,"furniture/equipment",2100,"good"
3460,6,"repairs",448,"bad"
3155,30,"domestic appliances",11998,"bad"
3750,48,"business",18424,"bad"
3709,6,"others",14896,"bad"
3090,12,"car (used)",2762,"bad"
3527,24,"furniture/equipment",2039,"bad"
3945,18,"retraining",2169,"bad"
3738,48,"furniture/equipment",6999,"bad"
3866,12,"retraining",2292,"bad"
3147,365,"furniture/equipment",674,"bad"
3317,24,"others",2718,"bad"
3886,24,"car (new)",12579,"bad"
3794,18,"car (new)",7511,"bad"
3933,24,"furniture/equipment",1987,"bad"
3683,21,"others",12680,"bad"
3415,12,"furniture/equipment",6468,"bad"
